,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
0,1,0,1,31,1,0,1,1,4,12,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
1,2,0,5,177,5,0,1,1,5,15,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
2,1,0,0,7,0,0,1,1,3,16,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
3,0,0,0,11,0,0,1,1,6,15,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
4,2,0,0,157,1,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
5,0,0,1,93,2,0,1,1,6,19,1,0,25,25,0,0,0,0,0,2,2,1,1,0,0,4,1
6,2,0,1,168,3,0,1,1,3,14,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
7,2,0,5,23,5,0,1,1,2,16,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
8,4,0,4,310,7,0,1,1,4,14,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
9,3,0,1,54,1,0,1,1,4,17,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
10,1,0,1,18,7,0,1,1,5,15,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
11,5,0,8,60,25,0,1,1,5,14,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
12,0,0,0,0,0,0,1,1,3,16,1,0,19,19,0,0,0,0,0,3,2,1,1,0,0,5,1
13,0,0,0,0,0,0,1,1,1,14,1,1,15,16,0,0,0,0,0,2,2,1,1,0,0,4,1
14,0,0,1,164,11,0,1,1,6,18,1,0,24,24,0,0,0,0,0,2,2,1,1,0,0,4,1
15,3,0,0,36,1,0,1,1,5,16,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
16,2,0,1,42,1,0,1,1,4,14,1,0,18,18,0,0,0,0,0,2,2,1,1,0,0,4,1
17,9,0,3,87,7,0,1,1,6,15,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
18,2,0,0,86,0,0,1,1,5,19,1,0,24,24,0,0,0,0,0,2,2,1,1,0,0,4,1
19,1,0,2,16,10,0,1,1,2,12,1,0,14,14,0,0,0,0,0,2,2,1,1,0,0,4,1
20,1,0,1,51,2,0,1,1,3,16,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
21,1,0,0,71,0,0,1,1,3,13,1,0,16,16,0,0,0,0,0,3,2,1,1,0,0,5,1
22,2,0,3,153,3,0,1,1,6,18,1,0,24,24,0,0,0,0,0,2,2,1,1,0,0,4,1
23,1,0,4,74,10,0,1,1,3,13,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
24,1,0,4,95,4,0,1,1,4,15,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
25,0,0,3,49,3,0,1,1,5,14,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
26,2,0,1,12,1,0,1,1,6,15,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
27,1,0,1,17,1,0,1,1,5,16,1,0,21,21,0,0,0,0,0,2,2,1,1,0,0,4,1
28,7,0,0,111,2,0,1,1,6,16,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
29,7,0,2,15,3,0,1,1,4,16,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
30,2,0,1,29,6,0,1,1,4,13,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
31,0,0,0,57,1,0,1,1,4,15,1,0,19,19,0,0,0,0,0,2,2,1,1,0,0,4,1
32,3,0,1,51,2,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
33,0,0,0,0,0,0,1,1,8,23,1,0,31,31,0,0,0,0,0,2,2,1,1,0,0,4,1
34,2,0,9,151,15,0,1,1,3,12,1,0,15,15,0,0,0,0,0,2,2,1,1,0,0,4,1
35,0,0,0,0,0,0,1,1,4,13,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
36,1,0,2,52,4,0,1,1,4,13,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
37,2,0,0,235,2,0,1,1,10,21,1,0,31,31,0,0,0,0,1,2,2,1,1,0,0,5,1
38,0,0,2,15,4,0,1,1,6,16,1,0,22,22,0,0,0,0,0,2,2,1,1,0,0,4,1
39,0,0,0,0,0,0,1,1,5,20,1,0,25,25,0,0,0,0,0,2,2,1,1,0,0,4,1
40,2,0,0,67,0,0,1,1,4,12,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
41,3,0,1,103,7,0,1,1,7,23,1,0,30,30,0,0,0,0,0,2,2,1,1,0,0,4,1
42,1,0,0,96,0,0,1,1,9,20,1,0,29,29,0,0,0,0,0,2,2,1,1,0,0,4,1
43,2,0,2,12,4,0,1,1,0,13,1,0,13,13,0,0,0,0,0,2,2,1,1,0,0,4,1
44,3,0,6,134,6,0,1,1,2,15,1,0,17,17,0,0,0,0,0,2,2,1,1,0,0,4,1
45,1,0,3,336,4,0,1,1,10,22,1,0,32,32,0,0,0,0,0,2,2,1,1,0,0,4,1
46,2,0,3,41,3,0,1,1,2,13,1,0,15,15,0,0,0,0,0,3,2,1,1,0,0,5,1
47,0,0,1,40,1,0,1,1,4,16,1,0,20,20,0,0,0,0,0,2,2,1,1,0,0,4,1
48,0,0,0,3,0,0,1,1,3,13,1,0,16,16,0,0,0,0,0,2,2,1,1,0,0,4,1
49,1,0,1,10,9,0,1,1,2,13,1,1,15,16,0,0,0,0,0,2,2,1,1,0,0,4,1
