,forms,javascript,logged_links,href_links,iframes,ip,www,protocol,nof_vowels,nof_consonants,nof_special_sym,nof_digits,nof_alpha,nof_alphanumeric,nof_ques,nof_dollar,nof_percent,nof_at,nof_dash,nof_dots,nof_dir,nof_www,nof_http,nof_eq,dash_in_path,terms_in_url,Labels
0,1,0,0,222,1,0,0,0,8,16,1,2,24,26,0,0,0,0,0,2,3,0,1,0,1,4,0
1,1,0,0,0,0,0,0,0,8,16,1,2,24,26,0,0,0,0,0,2,3,0,1,0,1,4,0
2,1,0,0,0,0,0,0,1,13,27,1,24,41,65,0,0,0,0,1,2,6,0,1,0,4,9,0
3,1,0,0,10,0,0,0,0,10,20,1,0,31,31,0,0,0,0,1,1,4,0,1,0,2,5,0
4,0,0,0,0,0,0,0,1,11,36,3,0,47,47,1,0,0,0,1,2,5,0,1,1,3,11,0
5,1,0,0,0,0,0,0,1,13,29,2,21,42,63,1,0,0,0,1,5,5,0,1,0,3,13,0
6,1,0,1,72,1,0,0,0,13,26,1,0,46,46,0,0,0,0,1,1,7,0,1,0,5,8,0
7,0,0,0,1,0,0,1,0,9,20,3,3,29,32,0,0,1,0,0,3,4,1,1,0,2,8,0
8,0,0,0,1,0,0,1,0,5,14,1,3,20,23,0,0,0,0,0,2,3,1,1,0,1,5,0
9,1,0,1,72,1,0,0,1,13,27,1,0,47,47,0,0,0,0,1,1,6,0,1,0,4,8,0
10,1,0,0,1,0,0,0,0,25,56,3,5,81,86,0,0,0,0,2,3,8,1,1,0,6,13,0
11,0,0,0,2,0,0,1,0,6,19,1,0,25,25,0,0,0,0,1,3,2,1,1,0,0,6,0
12,0,0,0,2,0,0,1,1,6,20,1,0,26,26,0,0,0,0,1,3,2,1,1,0,0,6,0
13,0,0,0,2,0,0,0,0,6,16,1,0,22,22,0,0,0,0,1,2,2,0,1,0,0,5,0
14,0,0,0,2,0,0,0,1,6,17,1,0,23,23,0,0,0,0,1,2,2,0,1,0,0,5,0
15,0,0,0,6,2,0,0,1,12,31,1,0,44,44,0,0,0,0,1,2,6,0,1,0,4,9,0
16,1,0,0,81,0,0,0,1,25,53,3,0,86,86,1,0,0,0,1,2,8,0,1,1,6,14,0
17,0,0,0,0,0,0,1,0,13,32,1,0,45,45,0,0,0,0,2,4,3,1,1,0,1,8,0
18,1,0,0,1,0,0,0,0,16,33,1,3,49,52,0,0,0,0,0,3,3,0,1,0,1,6,0
19,1,0,0,0,0,0,0,0,16,27,1,0,45,45,0,0,0,0,0,1,7,0,1,0,5,7,0
20,1,0,0,0,0,0,0,0,16,27,1,0,45,45,0,0,0,0,0,1,6,0,1,0,4,7,0
21,1,0,1,72,1,0,0,1,13,27,1,0,47,47,0,0,0,0,1,1,7,0,1,0,5,8,0
22,1,0,0,0,0,0,1,1,14,28,2,0,43,43,0,0,0,0,0,3,5,1,1,0,3,8,0
23,1,0,0,0,0,0,1,1,15,27,2,0,43,43,0,0,0,0,0,3,5,1,1,0,3,8,0
24,1,0,0,1,0,0,0,1,28,47,2,1,77,78,1,0,0,0,0,2,7,0,1,1,5,12,0
25,0,0,0,1,0,0,1,0,9,20,3,3,29,32,0,0,1,0,0,3,5,1,1,0,3,8,0
26,0,0,0,1,0,0,0,0,14,35,1,0,49,49,0,0,0,0,3,3,3,0,1,0,1,9,0
27,1,0,0,2,0,0,0,1,14,31,1,0,45,45,0,0,0,0,0,2,5,0,1,0,3,7,0
28,0,0,0,1,0,0,0,0,17,36,1,0,53,53,0,0,0,0,3,3,3,0,1,0,1,9,0
29,1,0,0,4,0,0,0,0,16,38,4,5,56,61,0,0,0,0,0,2,5,0,1,0,3,7,0
30,0,0,0,0,0,0,0,1,12,26,1,0,38,38,0,0,0,0,0,2,5,0,1,0,3,7,0
31,1,0,0,10,1,0,1,1,22,47,1,0,69,69,0,0,0,0,0,6,6,1,1,0,4,12,0
32,1,0,0,8,1,0,1,1,23,52,1,0,77,77,0,0,0,0,0,7,6,1,1,0,4,13,0
33,2,0,0,0,1,0,0,0,15,24,4,3,39,42,0,0,1,0,0,1,5,0,1,0,3,8,0
34,2,0,0,0,1,0,0,1,15,25,4,3,40,43,0,0,1,0,0,1,6,0,1,0,4,8,0
35,0,0,0,0,0,0,0,1,10,17,1,0,28,28,0,0,0,0,0,1,5,0,1,0,3,5,0
36,0,0,0,0,0,0,0,1,10,17,1,0,28,28,0,0,0,0,0,1,4,0,1,0,2,5,0
37,0,0,0,0,0,0,0,1,20,69,1,86,92,178,1,0,0,0,0,2,5,0,1,0,3,8,0
38,0,0,0,1,0,0,1,0,5,14,1,3,20,23,0,0,0,0,0,2,4,1,1,0,2,5,0
39,0,0,0,1,0,0,1,1,5,15,1,3,21,24,0,0,0,0,0,2,4,1,1,0,2,5,0
40,2,0,1,5,1,0,0,1,13,27,1,2,40,42,0,0,0,0,1,2,7,0,1,0,5,10,0
41,2,0,1,7,1,0,0,1,12,25,1,3,37,40,0,0,0,0,1,2,7,0,1,0,5,10,0
42,1,0,0,0,0,0,0,1,5,19,1,0,26,26,0,0,0,0,0,2,4,0,1,0,2,6,0
43,0,0,0,0,0,0,0,1,11,19,1,0,30,30,0,0,0,0,0,1,4,0,1,0,2,5,0
44,0,0,0,0,0,0,0,1,11,19,1,0,30,30,0,0,0,0,0,1,5,0,1,0,3,5,0
45,0,0,2,3,2,0,0,0,11,13,1,0,24,24,0,0,0,0,0,1,3,0,1,0,1,4,0
46,0,0,0,0,0,1,0,0,2,11,1,10,13,23,0,0,0,0,0,4,3,0,1,0,1,7,0
47,0,0,0,0,0,0,1,1,9,23,1,0,32,32,0,0,0,0,1,2,4,1,1,0,2,6,0
48,1,0,0,222,1,0,0,0,8,16,1,2,24,26,0,0,0,0,0,2,3,0,1,0,1,4,0
49,1,0,0,0,0,0,0,0,8,16,1,2,24,26,0,0,0,0,0,2,3,0,1,0,1,4,0
50,0,0,0,0,0,0,0,1,16,31,1,18,51,69,0,0,0,0,1,3,4,0,1,1,2,13,0
51,1,0,0,1,0,0,0,0,7,25,1,0,32,32,0,0,0,0,2,2,7,0,1,0,5,11,0
52,1,0,0,1,0,0,0,1,24,42,1,2,66,68,0,0,0,0,2,4,8,0,1,0,6,13,0
53,1,0,0,0,0,0,0,1,12,21,1,0,35,35,0,0,0,0,0,1,4,0,1,0,2,5,0
54,1,0,0,0,0,0,0,1,12,21,1,0,35,35,0,0,0,0,0,1,5,0,1,0,3,5,0
55,1,0,0,0,0,0,0,1,28,44,1,0,74,74,0,0,0,0,3,3,9,0,1,0,7,15,0
56,1,0,0,0,0,0,0,1,9,24,1,22,33,55,0,0,0,0,0,2,5,0,1,0,3,6,0
57,1,0,0,0,0,0,0,1,9,24,1,22,33,55,0,0,0,0,0,2,4,0,1,0,2,6,0
58,1,0,0,0,0,0,0,1,42,102,11,70,161,231,2,0,0,0,3,14,5,0,1,7,3,39,0
59,1,0,0,0,0,0,0,1,24,52,2,0,76,76,1,0,0,1,2,6,5,0,1,1,3,16,0
60,1,0,0,6,1,0,0,0,7,18,1,0,25,25,0,0,0,0,0,1,4,0,1,0,2,4,0
61,1,0,0,0,0,0,0,0,21,35,1,0,56,56,0,0,0,0,0,2,7,0,1,0,5,8,0
62,1,0,0,0,0,0,0,0,12,20,1,0,34,34,0,0,0,0,0,1,5,0,1,0,3,5,0
63,1,0,0,0,0,0,0,0,12,20,1,0,34,34,0,0,0,0,0,1,4,0,1,0,2,5,0
64,1,0,0,154,0,0,0,1,11,26,1,0,38,38,0,0,0,0,0,3,7,0,1,0,5,10,0
65,1,0,0,0,0,0,0,1,52,76,4,64,128,192,1,0,0,0,0,5,3,0,1,3,1,14,0
